[20:09:29 gpu 11.5G ram 6.0G] (0) Epoch 1/1, Batch 1/9734 (mgh16_4), Loss: 4.6562
[20:09:43 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 2/9734 (mgh40_6), Loss: 4.7500
[20:09:43 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 3/9734 (mgh60_1), Loss: 4.6250
[20:09:43 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 4/9734 (mgh40_3), Loss: 4.6875
[20:09:44 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 5/9734 (mgh40_0), Loss: 4.9062
[20:09:44 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 6/9734 (mgh36_1), Loss: 8.1250
[20:09:44 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 7/9734 (mgh6_1), Loss: 5.5000
[20:09:44 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 8/9734 (mgh40_2), Loss: 4.5000
[20:09:44 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 9/9734 (mgh40_2), Loss: 4.5000
[20:09:44 gpu 11.5G ram 8.8G] (0) Epoch 1/1, Batch 10/9734 (mgh30_1), Loss: 4.5938
[20:09:45 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 11/9734 (mgh25_1), Loss: 4.5938
[20:09:45 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 12/9734 (mgh16_4), Loss: 4.6875
[20:09:45 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 13/9734 (mgh57_0), Loss: 14.0625
[20:09:50 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 14/9734 (mgh40_6), Loss: 4.5625
[20:09:50 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 15/9734 (mgh29_0), Loss: 4.7188
[20:09:50 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 16/9734 (mgh15_0), Loss: 10.3125
[20:09:51 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 17/9734 (mgh60_1), Loss: 4.5625
[20:09:51 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 18/9734 (mgh40_6), Loss: 4.5312
[20:09:51 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 19/9734 (mgh60_1), Loss: 4.5938
[20:09:51 gpu 11.5G ram 8.9G] (0) Epoch 1/1, Batch 20/9734 (mgh40_2), Loss: 4.4375
[20:09:51 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 21/9734 (mgh40_0), Loss: 4.4062
[20:09:51 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 22/9734 (mgh60_1), Loss: 4.6250
[20:09:52 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 23/9734 (mgh51_0), Loss: 4.4375
[20:09:52 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 24/9734 (mgh50_0), Loss: 4.5938
[20:09:52 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 25/9734 (mgh40_0), Loss: 4.4062
[20:09:52 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 26/9734 (mgh1_3), Loss: 4.8438
[20:09:52 gpu 11.5G ram 8.8G] (0) Epoch 1/1, Batch 27/9734 (mgh1_0), Loss: 4.5000
[20:09:53 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 28/9734 (mgh19_1), Loss: 4.5938
[20:09:54 gpu 11.5G ram 8.7G] (0) Epoch 1/1, Batch 29/9734 (mgh1_0), Loss: 4.4375
